견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
골든리트리버,골든리트리버,Brown,2018.01,3.1,45.0,http://www.animal.go.kr/files/shelter/2021/01/202101301501462.jpg,Y,F,U,"순함, 비만, 털엉킴",경기도 안산시,1,3,45,1,2,Y
믹스,믹스,"Black, Brown, White",2016.01,5.8,5.0,http://www.animal.go.kr/files/shelter/2021/10/202111021111328.jpg,Y,M,U,분홍색 하네스 착용,부산광역시 해운대구,0,5,5,0,2,Y
비글,비글,Brown,2018.01,3.1,7.0,http://www.animal.go.kr/files/shelter/2021/01/202102021302850.jpg,Y,M,N,온순함,대구광역시 군위군,1,3,7,0,1,Y
보더콜리,보더콜리,"Black, White",2022.01,1.2,15.0,http://www.animal.go.kr/files/shelter/2023/03/202303241803702.jpg,Y,F,U,순함,대구광역시 수성구,1,1,15,1,2,Y
믹스,믹스,White,2021.01,0.2,4.0,http://www.animal.go.kr/files/shelter/2021/03/202103240103495.jpg,Y,F,N,작고이쁘게생겼음,전라북도 익산시,0,0,4,1,1,Y
진도,진도,White,2019.01,2.3,23.0,http://www.animal.go.kr/files/shelter/2021/03/202104111104815.jpg,Y,M,U,"활발함, 사람 좋아함",인천광역시 계양구,1,2,23,0,2,Y
믹스,믹스,White,2021.01,0.6,20.0,http://www.animal.go.kr/files/shelter/2021/08/202108171608807.jpg,Y,M,N,온순함,경상북도 영주시,0,0,20,0,1,Y
불독,불독,Black,2017.01,5.1,9.9,http://www.animal.go.kr/files/shelter/2022/02/202202231302238.jpg,Y,F,U,"두색줄무늬옷입음, 꼬리단미, 칩있음",인천광역시 계양구,1,5,10,1,2,Y
믹스,믹스,Beige,2021.01,0.7,9.0,http://www.animal.go.kr/files/shelter/2021/11/202112121212261.png,Y,F,N,,강원도 강릉시,0,0,9,1,1,Y
시바,시바,Blacktan,2022.01,1.3,7.5,http://www.animal.go.kr/files/shelter/2023/05/202305081705665.jpeg,Y,M,Y,"꼬리 단미 수술, 꼬리 무는 행동 및 입질있을수 있음",충청북도 청주시,1,1,8,0,0,Y
믹스,믹스,"Gray, White",2022.01,0.0,3.0,http://www.animal.go.kr/files/shelter/2022/01/20220120130152.jpg,Y,F,U,"온순함, 털무늬가 매력적",부산광역시 강서구,0,0,3,1,2,Y
믹스,믹스,Brown,2023.01,0.7,1.5,http://www.animal.go.kr/files/shelter/2023/07/202309191309566.jpg,Y,M,N,순함,전라북도 전주시,0,0,2,0,1,Y
믹스,믹스,White,2021.01,0.3,0.9,http://www.animal.go.kr/files/shelter/2021/04/202104161204311.jpg,Y,F,U,"양귀반접힘, 코검정, 체구작음, 전신오물오염, 사람따름, 얌전함, 꼬리단미안됨, 털상태불량",경기도 양주시,0,0,1,1,2,Y
믹스,믹스,"Black, Brown, White",2022.01,0.9,3.0,http://www.animal.go.kr/files/shelter/2022/11/202212091412593.jpg,Y,F,U,"검, 갈, 흰색",강원도 춘천시,0,0,3,1,2,Y
치와와,치와와,"Brown, White",2020.01,1.4,3.0,http://www.animal.go.kr/files/shelter/2021/05/202105181305247.jpg,Y,M,N,치와와 갈색흰색 수컷,전라남도 광양시,1,1,3,0,1,Y
시베리안허스키,시베리안허스키,"Black, White",2019.01,3.1,30.0,http://www.animal.go.kr/files/shelter/2022/01/202202011802342.jpg,Y,F,U,"순함, 사람잘따름",경상남도 의령군,1,3,30,1,2,Y
포메라니안,포메라니안,Beige,2021.01,2.6,5.0,http://www.animal.go.kr/files/shelter/2023/07/202308112208188.jpg,Y,M,N,순하고이쁘며 사람에게경계가심함,전라북도 익산시,1,2,5,0,1,Y
버니즈마운틴독,버니즈마운틴독,"Black, Brown, White",2019.01,2.8,25.0,http://www.animal.go.kr/files/shelter/2021/10/202110151310788.jpg,Y,F,U,순함,부산광역시 해운대구,1,2,25,1,2,Y
믹스,믹스,Beige,2021.01,1.5,7.0,http://www.animal.go.kr/files/shelter/2022/06/202207101907962.jpg,Y,F,U,검정색 목줄 착용,경기도 고양시,0,1,7,1,2,Y
라브라도리트리버,라브라도리트리버,White,2023.01,0.1,5.5,http://www.animal.go.kr/files/shelter/2023/01/202302231802476.jpg,Y,M,N,순함,전라북도 전주시,1,0,6,0,1,Y
푸들,푸들,Black,2021.01,2.1,2.5,http://www.animal.go.kr/files/shelter/2023/01/202302160902513.jpg,Y,F,N,온순 활발함 내장형칩,대구광역시 서구,1,2,2,1,1,Y
프렌치불독,프렌치불독,"Black, White",2019.01,2.4,12.0,http://www.animal.go.kr/files/shelter/2021/05/202106131606470.jpg,Y,F,U,"입질있음, 예민함, 겁많음",인천광역시 서구,1,2,12,1,2,Y
