견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,Black,2019.01,2.2,12.0,http://www.animal.go.kr/files/shelter/2021/01/20210311170321.jpg,Y,F,N,,경기도 고양시,0,2.2,12.0,1,1,Y
믹스,믹스,Spotted,2020.01,1.1,2.0,http://www.animal.go.kr/files/shelter/2020/11/202101201601371.jpg,Y,F,N,얼굴 검색,경상남도 사천시,0,1.1,2.0,1,1,Y
푸들,푸들,Brown,2016.01,7.5,8.0,http://www.animal.go.kr/files/shelter/2023/05/202307151307109.jpg,Y,M,Y,"치석많음, 귀 짝 안좋음, 눈물많음, 통통함",경기도 부천시,1,7.5,8.0,0,0,Y
푸들,푸들,Brown,2017.01,6.6,4.0,http://www.animal.go.kr/files/shelter/2023/07/20230809120849.jpg,Y,F,N,순하고 사람을 잘 따름,경기도 평택시,1,6.6,4.0,1,1,Y
믹스,믹스,White,2020.01,1.3,12.3,http://www.animal.go.kr/files/shelter/2021/05/202105101305240.jpg,Y,M,N,,경상남도 고성군,0,1.3,12.3,0,1,Y
믹스,믹스,Beige,2022.01,0.4,3.0,http://www.animal.go.kr/files/shelter/2022/05/202206031306873.jpg,Y,M,N,순하다,전라북도 김제시,0,0.4,3.0,0,1,Y
믹스,믹스,Beige,2020.01,3.6,10.0,http://www.animal.go.kr/files/shelter/2023/07/202308111308699.jpg,Y,F,N,"황색에 흰색이 섞임, 나이, 이마와 엉덩이 부분 검색 얼룩있음, 사람을 잘따르고 활발함",강원도 양양군,0,3.6,10.0,1,1,Y
믹스,믹스,White,2021.01,0.6,1.4,http://www.animal.go.kr/files/shelter/2021/07/20210730150717.jpg,Y,M,N,"양귀접힘, 왼눈 아이라인 없음, 코갈검정, 사람따름, 꼬리단미안됨, 털상태",경기도 양주시,0,0.6,1.4,0,1,Y
믹스,믹스,Black,2022.01,1.0,1.0,http://www.animal.go.kr/files/shelter/2022/12/202212301712465.jpg,Y,F,N,"공고번호 124번 자견, 10월생",경기도 가평군,0,1.0,1.0,1,1,Y
닥스훈트,닥스훈트,"Black, Brown",2018.01,4.3,6.8,http://www.animal.go.kr/files/shelter/2022/04/202204141704204.png,Y,M,Y,"온순함, 뒤통수에 노란털, 사람을 잘 따름, 임보중, 피부질환",충청남도 공주시,1,4.3,6.8,0,0,Y
믹스,믹스,"Black, White",2021.01,0.1,1.5,http://www.animal.go.kr/files/shelter/2021/01/202102171602854.jpg,Y,M,N,"7마리 같이눈사이 먼 불테리어 닮 바우와우 스타일, 이등신의 짤뚱 도련님, 소심한 편",경상북도 포항시,0,0.1,1.5,0,1,Y
골든리트리버,골든리트리버,Brown,2023.01,0.7,9.5,http://www.animal.go.kr/files/shelter/2023/07/202309051709296[1].jpg,Y,M,N,,제주특별자치도 제주시,1,0.7,9.5,0,1,Y
믹스,믹스,Beige,2021.01,0.8,1.8,http://www.animal.go.kr/files/shelter/2021/09/202110041110260.jpg,Y,F,N,,충청남도 보령시,0,0.8,1.8,1,1,Y
말티즈,말티즈,White,2014.01,8.6,2.7,http://www.animal.go.kr/files/shelter/2022/07/202207301707591.jpg,Y,M,N,"순함, 미용 되어있음",경기도 부천시,1,8.6,2.7,0,1,Y
믹스,믹스,"Ivory, White",2021.01,0.6,1.66,http://www.animal.go.kr/files/shelter/2021/07/202107262207897.jpg,Y,F,N,마을 인근에 박스에 담아 유기,경상북도 경산시,0,0.6,1.66,1,1,Y
믹스,믹스,Brown,2021.01,0.2,2.2,http://www.animal.go.kr/files/shelter/2021/03/202103241003655[1].jpg,Y,F,N,,제주특별자치도 제주시,0,0.2,2.2,1,1,Y
시츄,시츄,"Brown, White",2015.01,6.4,4.0,http://www.animal.go.kr/files/shelter/2021/05/202106011506711.jpg,Y,M,N,아서,광주광역시 북구,1,6.4,4.0,0,1,Y
믹스,믹스,Ivory,2021.01,1.3,10.5,http://www.animal.go.kr/files/shelter/2022/04/202204222004779.jpg,Y,F,N,"녹색 목띠착용, 매우온순함",경기도 여주시,0,1.3,10.5,1,1,Y
믹스,믹스,"Black, Brown",2022.01,1.2,4.0,http://www.animal.go.kr/files/shelter/2023/01/202303061203302.jpg,Y,M,N,"등록칩없음, 위생불량",대구광역시 달성군,0,1.2,4.0,0,1,Y
말티즈,말티즈,White,2014.01,7.6,6.5,http://www.animal.go.kr/files/shelter/2021/08/202108171608673.jpg,Y,M,Y,"순함, 염색되어있음, 말티푸, 사상충음성",충청북도 충주시,1,7.6,6.5,0,0,Y
믹스,믹스,White,2021.01,0.3,2.1,http://www.animal.go.kr/files/shelter/2021/05/202105101305325.jpg,Y,F,N,,경상남도 고성군,0,0.3,2.1,1,1,Y
믹스,믹스,Beige,2020.01,1.9,12.0,http://www.animal.go.kr/files/shelter/2021/11/202111271411299.jpg,Y,M,N,귀가 쳐져있는 한 갈색 친구,충청북도 청주시,0,1.9,12.0,0,1,Y
믹스,믹스,White,2022.01,1.3,5.0,http://www.animal.go.kr/files/shelter/2023/05/20230509140517.jpeg,Y,F,N,겁이많음,충청북도 옥천군,0,1.3,5.0,1,1,Y
푸들,푸들,Brown,2011.01,10.9,8.0,http://www.animal.go.kr/files/shelter/2021/11/202111161511902.jpg,Y,F,N,백내장,경기도 평택시,1,10.9,8.0,1,1,Y
믹스,믹스,"Beige, White",2022.01,0.9,2.0,http://www.animal.go.kr/files/shelter/2022/11/20221118161166[1].jpg,Y,M,N,"신고자 임시보호중, 4마리 동배 같이 구조, 홍역, 파보 음성1118, 종합백신1118",충청남도 논산시,0,0.9,2.0,0,1,Y
말티즈,말티즈,White,2017.01,6.2,2.3,http://www.animal.go.kr/files/shelter/2023/03/202303231503187.jpg,Y,M,N,순함,부산광역시 해운대구,1,6.2,2.3,0,1,Y
믹스,믹스,Brown,2021.01,0.2,1.8,http://www.animal.go.kr/files/shelter/2021/03/202103161703634.jpg,Y,M,N,3마리 동반 입소,경상남도 창원시,0,0.2,1.8,0,1,Y
믹스,믹스,Gray,2014.01,7.4,7.5,http://www.animal.go.kr/files/shelter/2021/05/202105311505763.jpg,Y,M,N,성격이 온순,대구광역시 달성군,0,7.4,7.5,0,1,Y
포메라니안,포메라니안,Brown,2018.01,3.8,5.0,http://www.animal.go.kr/files/shelter/2021/10/202110151610780.jpg,Y,M,N,목줄없고 순함,경기도 남양주시,1,3.8,5.0,0,1,Y
믹스,믹스,"Black, White",2018.01,3.2,7.0,http://www.animal.go.kr/files/shelter/2021/06/202106111506412.png,Y,M,N,부정교합이 심하고 짖음이 조금 있음미용 후 최근사진으로 변경,충청북도 청주시,0,3.2,7.0,0,1,Y
닥스훈트,닥스훈트,"Beige, Black",2019.01,2.9,5.0,http://www.animal.go.kr/files/shelter/2021/11/202111171711431.jpg,Y,M,N,순하고 사람 좋아함,경기도 하남시,1,2.9,5.0,0,1,Y
믹스,믹스,"Brown, White",2021.01,1.9,7.0,http://www.animal.go.kr/files/shelter/2022/11/202211281711212.jpg,Y,M,N,주황색목테착용 일주일전부터구조장소에가슴과코끝흰털 사람잘따름,경상북도 칠곡군,0,1.9,7.0,0,1,Y
믹스,믹스,Brown,2022.01,0.4,2.0,http://www.animal.go.kr/files/shelter/2022/04/202206130906593.jpg,Y,M,N,순하다,전라북도 김제시,0,0.4,2.0,0,1,Y
